epoch,step,train_loss,val_loss
0,49,0.6423470973968506,
0,49,,0.6634659171104431
1,99,0.5744131207466125,
1,99,,0.6116670966148376
2,149,0.46417567133903503,
2,149,,0.5826172828674316
3,199,0.37862491607666016,
3,199,,0.5916630625724792
4,249,0.3905584514141083,
4,249,,0.6072273254394531
5,299,0.34647253155708313,
5,299,,0.6097907423973083
6,349,0.35924550890922546,
6,349,,0.6008056998252869
7,399,0.3162342607975006,
7,399,,0.6237221956253052
8,449,0.317195326089859,
8,449,,0.5987818241119385
9,499,0.2924525737762451,
9,499,,0.637588381767273
10,549,0.2864144742488861,
10,549,,0.6493424773216248
11,599,0.3194272518157959,
11,599,,0.6080494523048401
12,649,0.28491246700286865,
12,649,,0.6704020500183105
