epoch,step,train_loss,val_loss
0,49,0.5315741896629333,
0,49,,0.6095098853111267
1,99,0.45841649174690247,
1,99,,0.577440619468689
2,149,0.36903464794158936,
2,149,,0.5821126699447632
3,199,0.3696722984313965,
3,199,,0.5880035758018494
4,249,0.33819982409477234,
4,249,,0.6005751490592957
5,299,0.33404409885406494,
5,299,,0.5845925211906433
6,349,0.37584254145622253,
6,349,,0.5925509333610535
7,399,0.32395297288894653,
7,399,,0.5963020920753479
8,449,0.47232598066329956,
8,449,,0.5770084261894226
9,499,0.318778932094574,
9,499,,0.6048887968063354
10,549,0.3446851074695587,
10,549,,0.5823802351951599
11,599,0.30101266503334045,
11,599,,0.611363410949707
12,649,0.3043426275253296,
12,649,,0.601118803024292
13,699,0.32138529419898987,
13,699,,0.6017382740974426
14,749,0.3584316372871399,
14,749,,0.5855691432952881
15,799,0.31435510516166687,
15,799,,0.6199566721916199
16,849,0.31636279821395874,
16,849,,0.6171445250511169
17,899,0.32561853528022766,
17,899,,0.6110237836837769
18,949,0.3526361882686615,
18,949,,0.5942760109901428
