epoch,step,train_loss,val_loss
0,49,0.5447783470153809,
0,49,,0.6174638867378235
1,99,0.4968618154525757,
1,99,,0.5949179530143738
2,149,0.4649387300014496,
2,149,,0.5909545421600342
3,199,0.47106531262397766,
3,199,,0.5896340608596802
4,249,0.47337737679481506,
4,249,,0.5890349745750427
5,299,0.47300925850868225,
5,299,,0.5887609124183655
6,349,0.4730747640132904,
6,349,,0.5866111516952515
7,399,0.46646368503570557,
7,399,,0.5843218564987183
8,449,0.46097177267074585,
8,449,,0.5823414325714111
9,499,0.45740363001823425,
9,499,,0.580426812171936
10,549,0.447661817073822,
10,549,,0.5769968628883362
11,599,0.43960827589035034,
11,599,,0.5743892192840576
12,649,0.4107595384120941,
12,649,,0.5724387764930725
13,699,0.4227953851222992,
13,699,,0.5703559517860413
14,749,0.4311670958995819,
14,749,,0.5692155361175537
15,799,0.40002912282943726,
15,799,,0.5683884620666504
16,849,0.41579383611679077,
16,849,,0.5680314898490906
17,899,0.4205301105976105,
17,899,,0.5678203105926514
18,949,0.3998900055885315,
18,949,,0.5675998330116272
19,999,0.41944003105163574,
19,999,,0.5674381256103516
20,1049,0.4103989601135254,
20,1049,,0.5672646164894104
21,1099,0.37890997529029846,
21,1099,,0.5671546459197998
22,1149,0.38701751828193665,
22,1149,,0.5674411058425903
23,1199,0.36593687534332275,
23,1199,,0.5675148963928223
24,1249,0.371780663728714,
24,1249,,0.5674259066581726
25,1299,0.35440531373023987,
25,1299,,0.5678380727767944
26,1349,0.3408268988132477,
26,1349,,0.5683069229125977
27,1399,0.3716713786125183,
27,1399,,0.5682506561279297
28,1449,0.35100311040878296,
28,1449,,0.5683541297912598
29,1499,0.3513214886188507,
29,1499,,0.5684845447540283
30,1549,0.3504880368709564,
30,1549,,0.5697054862976074
31,1599,0.34989601373672485,
31,1599,,0.5725281238555908
