epoch,step,train_loss,val_loss
0,49,0.4482329487800598,
0,49,,0.5910147428512573
1,99,0.46115750074386597,
1,99,,0.5921490788459778
2,149,0.4863324463367462,
2,149,,0.588802695274353
3,199,0.46847400069236755,
3,199,,0.5794815421104431
4,249,0.4310714304447174,
4,249,,0.5704545378684998
5,299,0.4089992046356201,
5,299,,0.5659783482551575
6,349,0.38651761412620544,
6,349,,0.568908154964447
7,399,0.37042877078056335,
7,399,,0.577894926071167
8,449,0.3866270184516907,
8,449,,0.5753468871116638
9,499,0.3602762818336487,
9,499,,0.5841150879859924
10,549,0.3519096374511719,
10,549,,0.589291512966156
11,599,0.3429924249649048,
11,599,,0.5984840393066406
12,649,0.3289451003074646,
12,649,,0.5936288833618164
13,699,0.3257206678390503,
13,699,,0.5984163880348206
14,749,0.31997182965278625,
14,749,,0.6048809289932251
15,799,0.3354284465312958,
15,799,,0.5955045819282532
16,849,0.3219620883464813,
16,849,,0.5966707468032837
17,899,0.32192304730415344,
17,899,,0.6031659841537476
18,949,0.3429812788963318,
18,949,,0.601107120513916
19,999,0.29196855425834656,
19,999,,0.6058229207992554
20,1049,0.32453131675720215,
20,1049,,0.6084505319595337
21,1099,0.2831861078739166,
21,1099,,0.6001917719841003
22,1149,0.33691248297691345,
22,1149,,0.6044971942901611
23,1199,0.31462836265563965,
23,1199,,0.6090257167816162
24,1249,0.31767410039901733,
24,1249,,0.607306718826294
25,1299,0.327162504196167,
25,1299,,0.6067585349082947
