epoch,step,train_loss,val_loss
0,49,0.618508517742157,
0,49,,0.6674126982688904
1,99,0.5869911909103394,
1,99,,0.6517961621284485
2,149,0.5304214358329773,
2,149,,0.6131027936935425
3,199,0.40105924010276794,
3,199,,0.5697898268699646
4,249,0.38881176710128784,
4,249,,0.571479082107544
5,299,0.3462749421596527,
5,299,,0.5720587372779846
6,349,0.3083471655845642,
6,349,,0.582149863243103
7,399,0.30073633790016174,
7,399,,0.5790569186210632
8,449,0.32908281683921814,
8,449,,0.5889014005661011
9,499,0.4676571786403656,
9,499,,0.5791476368904114
10,549,0.34706634283065796,
10,549,,0.5797933340072632
11,599,0.3462921380996704,
11,599,,0.5677086710929871
12,649,0.28982022404670715,
12,649,,0.5968654751777649
13,699,0.29642295837402344,
13,699,,0.5821954011917114
14,749,0.2845149636268616,
14,749,,0.5909525752067566
15,799,0.3415376842021942,
15,799,,0.5719460844993591
16,849,0.27444738149642944,
16,849,,0.6040742993354797
17,899,0.29578056931495667,
17,899,,0.5780190825462341
18,949,0.2749619781970978,
18,949,,0.5977537035942078
19,999,0.3545053005218506,
19,999,,0.5823599696159363
20,1049,0.28741052746772766,
20,1049,,0.6058531999588013
21,1099,0.3386923372745514,
21,1099,,0.5854650735855103
