epoch,step,train_loss,val_loss
0,49,0.48498424887657166,
0,49,,0.5800987482070923
1,99,0.38888871669769287,
1,99,,0.5667779445648193
2,149,0.433265745639801,
2,149,,0.5638142824172974
3,199,0.35052043199539185,
3,199,,0.5631096363067627
4,249,0.4901173412799835,
4,249,,0.5758790373802185
5,299,0.30003711581230164,
5,299,,0.5770147442817688
6,349,0.3867206871509552,
6,349,,0.5708503127098083
7,399,0.3004704415798187,
7,399,,0.578112781047821
8,449,0.4310736358165741,
8,449,,0.583513081073761
9,499,0.30161815881729126,
9,499,,0.612909734249115
10,549,0.3293553292751312,
10,549,,0.6026698350906372
11,599,0.3098631799221039,
11,599,,0.6275457739830017
12,649,0.30745431780815125,
12,649,,0.6187446713447571
13,699,0.28325873613357544,
13,699,,0.663705050945282
